AM BA CE ES GO MA MT MG PA PB PR PE RS RJ SC SP
AC 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 8% 12% 9% 12%
AM 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 9% 12% 12% 12% 12%
AP 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 9% 12%
BA 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
CE 12% 7% 7% 6% 12% 12% 12% 12% 12% 12% 12% 10% 12% 12% 11% 12%
DF 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
ES 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 9% 12% 12%
GO 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
MA 12% 4% 4% 12% 12% 12% 8% 12% 12% 12% 12% 12% 5% 12% 12% 12%
MT 12% 12% 12% 12% 5% 12% 12% 9% 12% 12% 12% 12% 12% 12% 12% 12%
MS 12% 10% 12% 12% 12% 12% 12% 12% 13% 12% 12% 12% 12% 11% 12% 12%
MG 12% 12% 12% 13% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
PA 12% 16% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 16% 12% 12%
PB 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
PR 11% 11% 11% 11% 12% 12% 12% 12% 12% 11% 11% 11% 12% 11% 12% 12%
PE 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 6% 12% 12% 12% 12%
PI 12% 5% 12% 12% 12% 12% 12% 12% 13% 12% 12% 12% 12% 12% 12% 12%
RN 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
RS 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 5% 12%
RJ 12% 12% 12% 12% 12% 12% 12% 12% 13% 12% 12% 12% 13% 12% 12% 12%
RO 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 5% 12% 12% 12% 12%
RR 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 7% 12% 12% 12%
SC 12% 16% 12% 12% 12% 12% 16% 16% 12% 12% 16% 16% 12% 16% 16% 16%
SP 12% 7% 18% 12% 12% 18% 12% 17% 12% 7% 12% 7% 18% 12% 12% 12%
SE 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 12%
TO 12% 12% 12% 12% 12% 12% 12% 12% 12% 12% 18% 12% 12% 12% 12% 12%
